label,text
Negative,"Hari ini orang itu menawar diri nak kembali menjadi perdana menteri…hanya ketika saya menjadi perdana menteri, baru jalan ini diluluskan"
Positive,Saya harap mereka baca dengan baik
Positive,Kita akan mengambil tindakan tegas jika terbukti mereka ini melakukan perbuatan yang boleh dikira sebagai tidak bermoral seperti ini
Positive,Saya tidak akan khianati rakyat yang mengharapkan berlaku peralihan kuasa politik BN kepada Harapan pada PRU14
Positive,Ini yang saya pelik. Adakah ada campur tangan pihak tertentu? Saya minta pihak berkaitan menyiasat perkara ini
Negative,Pas tidak lagi releven sebagai parti politik dan tidak ada arah.
Negative,Ini satu penghinaan kepada exco-exco kita
Negative,"memandangkan pengisytiharan tersebut turut melibatkan ahli keluarga para wakil rakyat, privasi mereka akan dikompromi."
Positive,"Sudah sampai masanya kita lupakan persengketaan, perbalahan dan permasalahan antara kita serta perlu berjiwa besar"
Positive,saya mahu sistem pendidikan dan kesihatan yang lebih baik untuk anak-anak saya
Positive,Tiada kaum atau mana-mana bangsa akan merestui tindakan keji ini
Positive,Ia sekaligus mewujudkan hubungan baik antara pemimpin dan masyarakat
Positive,"Jumlah ini mewakili semua penyedia perkhidmatan ‘e-hailing’ bukan sahaja Uber dan Grab tetapi semua syarikat tempatan,"
Negative,Jadi ia tidak seragam
Negative,"Akhirnya, GPS telah menyebabkan kami terlupa kepada individu murid yang unik dan berkebolehan"
Negative,jiran sekampung yang mengenali turut menzahirkan rasa simpati dengan kejadian yang menimpa pasangan itu.
Positive,"teknologi juga menjimatkan kos, masa dan tenaga."
Positive,"Pelabuhan Klang ketika ini adalah pelabuhan ke-12 terbesar di dunia, jadi kita nak buat secara holistik"
Positive,kita ingin memastikan supaya sekolah tahfiz tidak menggadaikan kualiti pendidikan untuk anak-anak kerana mereka inilah masa depan negara
Negative,kejatuhan nilai ringgit secara automatik menyebabkan kos mengimport makanan dan ubat-ubatan naik
Positive,Ada gelombang sokongan. 
Negative,"Kerajaan juga memberi alasan bahawa pada 2014 sehingga 2016 tiada kejadian banjir monsun melanda Pulau Pinang, kecuali kejadian banjir kilat sahaja"
Negative,ia pandangan peribadi pemilik akaun dan tidak semestinya menggambarkan pendirian sidang redaksi kami
Positive,Kita tidak mahu apa-apa kaedah di pentadbiran itu dijadikan bahan politik yang boleh mewujudkan percanggahan kepentingan antara tugas dalam hal politik
Positive,Taubat boleh mengenai tekad anda mahu menebus kesilapan yang dilakukan terhadap orang lain
Positive,"Bagaimanapun, persiapan kita kali ini luar biasa berbanding sebelum ini."
Positive,Sesi pertemuan berlangsung harmonis dalam dua jam
Positive,Setakat ini tak ada seorang pun yang terkorban dalam kejadian keganasan di Malaysia.
Positive,"Dalam erti kata lain, kemudahan ini akan menggalakkan penyertaan awam yang lebih berkesan bagi memastikan pelaksanaan dan penambahbaikan NHRAP dari semasa ke semasa"
Negative,"Kalau Proton tidak dibantu atau diselamatkan, bermakna bukan 10,000 pekerja yang bekerja secara langsung hilang pekerjaan, tetapi 50,000 pekerja yang terlibat secara tidak langsung akan hilang pekerjaan."
Positive,"Sebelum sekatan dikenakan, LHDN perlu memastikan notis tunggakan cukai disampaikan kepada individu atau syarikat mengikut undang-undang seperti yang diamalkan Jabatan Perkhidmatan Awam (JPA)"
Negative,"Saya fikir berucaplah sekuat mana sekali pun, tulislah sebanyak mana kertas cadangan tapi sekiranya rejim yang sama terus mentadbir negara, perubahan tuntas yang kita mahukan mustahil akan terlaksana kerana 'political will' itu tidak wujud"
Positive,Walaupun Mary berusia 69 tahun tetapi prestasi cara kerjanya sangat baik seperti orang muda.
Positive,Tidak betul untuk mengklasifikasikan taubat dengan pergi ke madrasah untuk belajar Islam atau sembahyang
Negative,sanggah isu remeh yang tidak mempunyai fakta
Positive,"Jadi itulah sebab saya ingin jadikan tahun ini tahun teristimewa dan saya akan bekerja lebih kuat, malah timbalan saya pun akan kerja lebih gigih lagi"
Positive,"Di bawah pelan Transformasi Negara 2050 (TN50) pula penubuhannya antara lain, turut mengambil kira kemudahan masyarakat kawasan bandar dengan kepadatan penduduk tinggi memperoleh manfaat kesihatan"
Positive,parti gabungan itu tetap  mempunyai peluang yang baik untuk merampas kembali kerusi yang terlepas daripada genggamannya  berdasarkan barisan calon yang kuat serta berkemampuan yang diumumkan itu.
Positive,"Tempoh kepada lembaga siasatan ialah selama 3 bulan, tetapi saya percaya ia dapat dilakukan dalam masa yang lebih pendek"
Negative,"Hari ini jelas, rakyat terhimpit dengan kos sara hidup yang tinggi, GST, selain isu-isu yang melanda kepimpinan kerajaan BN"
Positive,"Orang kata ekonomi susah, rakyat hidup sukar, cuba pergi ke lapangan terbang KLIA, berapa ramai rakyat Malaysia yang melancong ke luar negara, pergi pasar raya penuh orang tidak berkurangan."
Negative,"Berbanding membina jambatan, ia lebih kepada perpisahan dan kelebihan satu komuniti berbanding yang lain"
Negative,Saya pernah menguruskan permohonan PRA beberapa tahun lalu dan perlu naik turun beberapa kali ke pejabat Kementerian Dalam Negeri (KDN) dan Jabatan Imigresen dengan terlalu banyak borang dan dokumen harus disediakan
Positive,sebulat suara memutuskan demikian selepas membenarkan rayuan syarikat perlombongan emas itu.
Positive,Kita beralih pula kepada konsep participatory democracy dengan rakyat terbanyak diberikan peluang untuk menyuarakan pendapat dalam pelaksanaan kuasa oleh pihak kerajaan selepas mereka mendapat mandat pemerintahan melalui proses pilihan raya.
Negative,Macam mana mereka boleh terlupa dan terlepas pandang?
Positive,Permatang Pauh kubu tradisi Umno sebelum ini
Positive,Saya mengalu-alukan pembangunan di sini dan harap kemudahan yang kerajaan beri dapat digunakan sebaik mungkin
Negative,"Orang ini terpaksa, bukan kerana kesilapan mereka tapi kerana dasar kerajaan yang kononnya ekonomi menguntungkan negara dengan KDNK, pendapatan perkapita tinggi tapi graduan ini masih menganggur."
Positive,"Saya tahu, zaman kerajaan betul semua, benar semua telah berlalu."
Positive,"Kalau dibuka pasar raya di sini, dapat beri peluang anak-anak muda bekerja sebab pada masa ini, ramai yang bekerja di Bentong atau Raub"
Positive,semua negara menangani isu ini dan tiada negara yang terkecuali kata beliau
Positive,Saya sedia beri kerjasama kepada pihak polis kerana yakin tidak melakukan apa-apa kesalahan.
Positive,"Meskipun tidak dicalonkan semula untuk mempertahankan kerusi, dia akan tetap membantu sesiapa sahaja yang mengantikan tempatnya."
Negative," Sekarang ini, kita nak tutup hutang itu dengan mengadakan projek lain, jadi ia memakan masa."
Positive,kerjasama erat di antara sektor swasta dan pihak universiti adalah tunjang bagi membantu malaysia berada dalam kelas ekonomi berpendapatan tinggi
Negative,rakyat Malaysia lupa bahawa pengundian untuk parti harus menjadi pertimbangan kedua.
Positive,Pasukan kami melakukan yang terbaik untuk menyelesaikan masalah ini secepat mungkin
Positive," Saya ingatkan jentera BN tadi (semasa berucap) apa yang ada di dalam dewan ini tidak cukup, sebaliknya jentera mesti mendekati pengundi di luar dewan"
Positive,Ini sahaja cara yang dapat menyelamatkan sebahagian besar hasil negara
Negative,"Walaupun ada BR1M untuk B40, ia hanya seperti beri Panadol kepada pesakit kritikal"
Negative,"Kalau kamu tidak berani menyoal saya di pejabat kamu sendiri, kenapa hendak tulis artikel bantai saya"
Positive,"Perjalanan masjid harus diatur dengan baik dan bagi masjid baharu, pilih ahli pentadbir yang tepat"
Positive,Kita mesti perkukuhkan parti kerana pilihanraya kali ini bukan pilihanraya biasa-biasa dan kita harap Terengganu dapat memantapkan kedudukan demi kelangsungan parti pada masa depan
Positive,"Pembayaran fasa pertama BR1M 2018 telah mula diagihkan Isnin lepas dan kepada penerima yang belum mendapatnya, perlulah menunggu sekurang-kurangnya dalam masa seminggu."
Positive,walaupun dalam peperangan ada pihak yang menang dan ada yang kalah namun kekalahan secara bermaruah dengan memberikan fakta yang lengkap dan jelas pasti akan memberikan persepsi positif
Positive,akan digunakan sebagai program untuk meningkatkan produktiviti perkhidmatan awam
Positive,Program hari ini membuka mata kami tentang komuniti orang asli
Negative,Di Selangor terdapat ‘kelawar-kelawar politik’ berkeliaran hanya bila tiba musim buah.
Positive,"Walaupun akta ini digubal, ia tidak bermakna kerajaan mengawal freedom of speech rakyat"
Positive,"Ketua Penerangan Bersatu, Kamaruddin Mohd Noor suruh saya ‘mengemas’ barang-barang kerana Bersatu akan ambil alih Kedah tetapi di sini mereka yang perlu ‘mengemas’ barang mereka."
Negative,Produktiviti kita merosot. Kerajaan kata produktiviti kita meningkat. Tak mungkin
Negative,Sana sini tidak jadi.
Negative,Ini melampau.
Positive,"Sebagai pesara polis dan kini anggota RELA, saya tidak pernah gentar berhadapan musuh (pengganas Kiram) yang cuba mengganggu keamanan dan kestabilan bumi merdeka ini"
Positive,"Jadi, saya anjurkan semua pihak termasuk pemaju perumahan supaya melaksanakan pendekatan ini."
Positive,Kita terharu apabila beliau (Khairy) mendekati MBM dalam usaha mengumpulkan idea daripada semua pihak bagi membentuk manifesto terbaik terutama dalam memberi penekanan kepada penyelesaian isu golongan muda.
Negative,Saya juga kesal apabila perkataan ‘haram jadah’ disebut oleh beliau kerana tidak sesuai diucapkan selaku orang ilmuwan agama
Positive,Calon muda lebih mudah memahami apa yang dikehendaki golongan muda daripada kerajaan. Ini adalah barisan calon terbaik  dan sejajar dengan semangat
Positive,"Jadi, saya kata, biar kita lakukan ini sebagai sebahagian daripada tanggungjawab sosial korporat"
Negative,"Hospital kerajaan, dulu ubat tak perlu bayar, kita bayar seringgit saja ubat percuma."
Positive,"Sudah, cukuplah... jangan pandai-pandai membuat komen mengenai Taman Ilmu yang dibangunkan untuk pendidikan masa depan rakyat Terengganu."
Negative,"Ayatnya berbunyi, ‘strategi politik calon Perdana Menteri sementara Pakatan Harapan yang diketuai oleh DAP, Tun Dr Mahathir Mohamad dibimbangi mencontohi perbuatan Abdullah Bin Ubay’."
Negative,beliau berkata sekiranya negara akan bankrap kerajaan tidak akan mampu membentangkan bajet dengan peruntukan rm bilion
Negative,"Kami akan keluar mengundi tetapi kerana kami tidak setuju dengan kedua-dua pihak, kami akan rosakkan undi,"
Positive,mengeluarkan kenyataan terbaru di media sosial untuk membuka permohonan kepada sesiapa yang berminat bekerja di pejabatnya
Positive,Inilah masanya negara perlukan perubahan secara menyeluruh
Negative,"Kita sanggup keluarkan arahan yang melukakan hati rakyat, meragut nyawa rakyat"
Positive,Latihan dan pendedahan (diterima) oleh Wan Saiful dan Maria Chin Abdullah dalam pergerakan sosial akan membolehkan mereka menjadi lebih proaktif dalam menangani isu
Negative,berkata kuman penyakit itu mudah berjangkit daripada seorang kanak-kanak kepada kanak-kanak yang lain menerusi alat dan barang permainan yang diguna bersama.
Positive,Anggota yang bertugas juga dibekalkan dengan alat komunikasi Government Integrated Radio Network (GIRN) oleh Majlis Keselamatan Negara
Positive,"Parti yang inginkan kerusi tersebut kena tunjuk (mereka) boleh menang, kemampuan dari segi jentera, calon dan pengundi (di situ) kenal parti tersebut"
Negative,"Kadang-kadang pemangsa menyembunyikan identitinya, menyebabkan mangsa sukar melawan atau mempertahankan diri"
Positive,Saya harap kerajaan akan bantu kami dan tolong henti hadkan kreativiti serta idea kami
Negative,krisis ini akan melimpah di seluruh asean
Negative,Bukan berdasarkan jumlah dan emosi ke­terujaan membuta tuli
Negative,Pilihan raya yang sukar diramal
Negative,Rakyat Malaysia berulang kali dalam pilihan raya telah membuktikan kemampuan memilih dengan bijak.
Positive,"Kita minta kerajaan jangan hanya mengambil tindakan undang-undang, gunakan pendekatan lain untuk mereka yang salah guna tanaman ini."
Positive,Lagipun ini negara demokratik dan sesiapa pun boleh bertanding jika mereka mahu
Positive,Plaintif (LTAT) telah menjelaskan semua permohonan pesara tentera yang telah lengkap dan diterima daripada Urusan Gaji Angkatan Tentera telah diproses dan pembayaran telah dibuat
Negative,"Perkara ini sensitif, andaian bukan-bukan boleh jejaskan ketenteraman awam dan keselamatan negara"
Positive,Usaha kita dalam aspek ini adalah “the new battleground” yang perlu kita beri tumpuan lebih
Positive,"Maknanya, Kementerian Kewangan dan menteri perlu memberi laporan kepada parlimen supaya anggota parlimen dapat mengikuti setiap perkembangan dan tidak timbul masalah baru"
Positive,Ini menjadikan potensi untuk India menjadi ekonomi besar adalah tinggi sama seperti apa yang dilakukan China beberapa tahun lalu sehingga menjadi ekonomi kedua terbesar dunia
Positive,teknologi komunikasi media sosial telah berjaya menyampaikan maklumat serta menarik minat sukarelawan menyertai kempen ini
Positive,"Hospital Medan Malaysia di Cox’s Bazar, Bangladesh bagi misi bantuan kemanusiaan Rohingya yang memulakan operasi pada 1 Disember lalu akan diteruskan sehingga akhir tahun ini"
Positive,"Kawasan terbabit dijaga oleh tentera, polis dan Jabatan Sukarelawan Malaysia (RELA), namun kami diberi kepercayaan oleh kerajaan bagi membantu mereka di sana"
Positive,Tidak ada satu pun taifah yang mengancam keselamatan negara
Negative,disebabkan rasa kecewa kerana tidak memperoleh sesuatu atau kehendak mereka ditolak.
Positive,"Sebagai langkah proaktif, ada pihak yang mengambil langkah menganjurkan gerakan besar-besaran mewujudkan pemantau sukarela"
Positive,prinsip yang dibawa oleh demokrasi seperti yang dibawa di negara yang mengamalkan demokrasi serata dunia.
Negative,pembangkang tidak sepatutnya membuat tuduhan sebegitu sehingga mengelirukan rakyat
Negative,Rizal yang berkata pihaknya akan membuat laporan pada SKMM mengenai perkara itu dan mencabar pemilik suara tersebut untuk tampil membuat tuduhan secara terbuka.
Negative,"Suatu ketika rakyat Malaysia dikejutkan dengan kontrak pelantikan Apco Worldwide sebanyak hampir RM77 juta setahun yang hanya terdedah apabila diasak oleh Datuk Seri Anwar Ibrahim, bekas Ketua Pembangkang di Parlimen"
Positive,"Gabungan harga minyak yang kukuh, dolar US yang secara menyeluruh lemah selain sentimen risiko yang positif susulan laporan Tabung Kewangan Antarabangsa (IMF) menunjukkan pertumbuhan global yang menyeluruh sejak 2010."
Negative,Kita tidak boleh menolak kemungkinan kempen semasa PRU-14 boleh mendatangkan bahaya kepada orang ramai dan pekerja pilihan raya kerana pilihan raya umum kali ini dianggap ibu kepada segala pilihan raya yang bakal menjanjikan pertarungan sengit.
Negative,Tapi sekurang-kurangnya kita harus diberikan ruang untuk membacanya dan ini (laporan) panjang
Positive,mempertikaikan tindakan Nazifuddin yang didakwa meminum wain dan berhibur dengan pelakon Taiwan itu ketika bapa dan keluarganya cuba mengumpul wang bagi membayar ikat jamin bekas perdana menteri
Positive,"Kalau dahulu, jarang sekali seorang ayah bawa anak-anak mengerjakan umrah, sebaliknya anak itu bawa ayah dan ibu selepas dia bekerja dan mampu."
Negative,dakwaan itu juga boleh menyebabkan dunia kurang keyakinan terhadap keupayaan negara mengawal tempat-tempat keselamatan.
Positive,"Ia adalah usaha yang menguntungkan, dan kemudian sudah tentu kerajaan memutuskan untuk ‘bermain-main’ dengannya"
Negative,"Kita boleh lihat sekarang di media sosial, parti pembangkang dan pemimpinnya bebas untuk memberi pandangan dan pendapat, tidak ada sekatan pun"
Positive,"Tapi ada raya sebelum raya puasa dan raya itu dah nak dekat,"
Positive,Ini membuktikan karnival ini mendapat sambutan yang mengalakkan daripada rakyat
Negative,lantaran itu myanmar ataupun asean tidak boleh berselindung di sebalik prinsip tidak campur tangan dan kedaulatan
Negative,Bagi saya ia tak berjaya tapi yang berjaya adalah mereka yang menjual beg plastik
Negative,tidak menyerahkan nasib mereka kepada pembangkang yang sehingga kini masih gagal menunaikan janji.
Negative,sebagai tidak beretika kerana gagal mendapatkan penjelasan daripada pihaknya de­ngan adil.
Positive,Gerak kerja kita sekarang ke arah pilihan raya umum dan ke arah pertandingan tiga penjuru
Positive,"Perpindahan ke kampung baharu tersebut akan dilakukan sebaik pembinaan rumah siap termasuk disediakan kemudahan jalan, elektrik dan air bersih supaya dapat tinggal dalam keadaan selesa"
Positive,Wakil-wakil rakyat Pakatan Harapan telah pun bertemu dengan kempen SKL untuk menyatakan sokongan mereka.
Positive,"Keutamaan saya hingga kini tidak berganjak iaitu mahu  pastikan berlaku peralihan kuasa, bukannya jadi calon."
Positive,Sedangkan majoriti Melayu kuat di Dun Tanjung Lumpur dan Inderapura... amat baik jika Umno diberi peluang sekali lagi
Positive,perancangan teliti amat diperlukan dan semestinya memerlukan maklumat sahih de­­mi andaian dan jangkaan apa yang akan berlaku menjadi ke­nyataan
Positive,"Memang sangat bagus jika doktor, pakar atau jururawat kerajaan pergi bertugas di luar negara untuk tingkatkan kemahiran mereka, kemudian pulang berkhidmat dalam negara"
Positive,Sambutan forum itu amat menggalakkan bila mana pihak penganjur telah menerima banyak soalan secara atas talian seminggu sebelum forum diadakan dan ia datang daripada bekas pelajar daripada pelbagai peringkat umur.
Positive,Seolah-olah Shahrir sedang berusaha untuk menyelamatkan Felda
Positive,"Bagi saya senang sahaja, bagi orang yang tidak membuat cerita bohong atau berita palsu, mereka tidak perlu takut dengan undang-undang ini"
Negative,tidak merasakan tindakan mereka itu menjejaskan parti kerana kita sendiri tidak memerlukan pemimpin seperti itu
Negative,Tindak tanduk plaintif sendiri yang mencetuskan notis usul itu dibuat kerana beliau telah mencemarkan profesion undang-undang.
Positive,Semoga semua tabah dan mengikuti panduan pihak berkuasa
Positive,"berkata sepanjang pengalamannya bertugas, semua anggota polis dan tentera memang diberikan kebebasan sepenuhnya untuk memilih mana-mana calon ketika mengundi, biarpun kebanyakan menunaikan tanggungjawab berkenaan secara undi pos"
Positive,menyifatkan kehadiran beliau cukup memberikan sokongan kepada pakatan.
Positive,Bukan semua yang dilakukan oleh kerajaan membawa keburukan kepada rakyat
Negative,masalah utama be­liau ketika berdepan media-media propembangkang adalah kerana mereka hanya mahu mende­ngar jawapan bersesuaian dengan corak penulisan masing-masing.
Positive,Manifesto itu sudah siap cuma kita rasa perlu perkemaskan lagi dan saya percaya ia adalah untuk manfaat semua rakyat di Pahang
Positive,"Islam bukan hanya mengenai hubungan seseorang dengan Tuhan, tetapi juga tingkah lakunya sesama manusia dan bukan hanya umat Islam"
Positive,Kalau nak berpihak kepada 'government of the day' itu tak apa. 
Positive,Kepimpinan sekarang mewarisi perjuangan terdahulu khususnya Tuan Guru Nik Aziz yang tidak pernah keluar PAS dan meninggal (ketika berada) dalam parti
Positive,"Jika tiada pengesahan, guru itu perlu dibawa menjalani rawatan untuk mengesahkan sama ada guru itu mengalami masalah mental atau tidak"
Positive,Sedangkan Datuk Mufti kita kenali merupakan seorang yang lembut dan baik
Negative,yang jika sabit kesalahan boleh dipenjara
Positive,"Memang kalau kita dapat bukti sahaja, kita memang ambil tindakan tegas kepada penghuni yang membuang sampah merata"
Negative,"amat kritikal bagi mereka yang mengatur GSPS, mu­ngkin nampak hebat tetapi hakikatnya isi hati sasaran iaitu mereka yang akan mengundi amat sukar untuk ditentukan secara sahih."
Positive,Sebenarnya beliau sendiri sudah menyatakan tidak senang dengan sikap DAP dan Pakatan Rakyat yang makin terbuka menunjukkan perkara-perkara yang negatif terhadap hubungan agama dan kaum
Positive,Kita masih berharap ‘untung sabut timbul’ dan kita mampu raih kemenangan
Positive,Sandakan mempunyai persekitaran yang aman dan tenang. Udaranya masih segar dan tidak banyak kesesakan trafik buat masa ini
Positive,Saya ambil maklum keadaan banjir di Sarawak
Positive,Namun perlu seiring dengan sikap penduduk
Positive,Jika keadaan sekolah-sekolah ini terbiar tanpa penyeliaan maka pastinya akan menyuburkan kebangkitan dissenters (penentang) dan pelampau di negara ini kerana tekanan perasaan sebagai rakyat kelas kedua dan tidak dapat menyesuaikan diri dengan aliran perdana.
Negative,jelas membuktikan mereka tikam belakang
Negative,"Tindakan Puad yang menyifatkan berita palsu sebagai 'jenayah berat' memang mengejutkan, memandangkan JASA adalah unit propaganda kerajaan dan menyebarkan maklumat yang salah"
Negative,Tetapi tiada siapa dengar tentang harga yang dibayar untuk tanah itu
Positive,rais saniman dari organisasi kerjasama dan pembangunan ekonomi oecd dan jack parkinson dari university of nottingham beliau telah menulis secara terperinci isu ini
Negative,suka tidak suka kita memerlukan dasar ekonomi dan belanjawan yang lebih praktikal
Positive,hakikatnya ekonomi malaysia akan terus berkembang pada kadar yang jauh melebihi purata antarabangsa seperti mana yang dilaporkan bank dunia kata kementerian kewangan
Positive,"Justeru, kemudahan seperti ramp (tanjakan) dan tandas bergerak perlu disediakan untuk kemudahan mereka."
Negative,"Mereka lebih memberi tumpuan pada keperluan harian, berbanding membantu jentera parti"
Positive,Peningkatan ini disokong sebahagiannya daripada pemulihan harga minyak mentah dunia
Positive,"Kita tidak boleh kata kos sara hidup itu naik semata-mata tentang satu harga barang sahaja, sebab kalau ikutkan barang juga terbahagi kepada beberapa faktor"
Negative,langkah yang dilaksanakan ini sebenarnya satu pembaziran kerana terpaksa membelanjakan kos penghantaran menggunakan perkhidmatan pos.
Positive,"Kalau nak kira, memang boleh (dapat 40,000) undi...kita bekerja untuk rakyat  sejak lepas pilihan raya dulu lagi"
Positive,"Saya  meminta supaya orang awam melaporkan kes sedemikian kepada pihak berkuasa seperti mana yang diperuntukkan di bawah seksyen 29A Akta Kanak-Kanak 2001,"
Positive,"Untuk pilihan raya umum yang akan datang ini, pengundi di Kuala Lumpur haruslah mengundi calon yang akan menyokong pewartaan pelan tersebut."
Negative,"Nama MAIPs, polis dan saya dikaitkan dengan kehilangan aktivis Syiah berkenaan"
Positive,Kita akan salurkan bantuan seberapa segera terhadap mangsa banjir setelah mendapatkan maklumat lengkap
Positive,Lembaga yang diletakkan di bawah seliaan Kementerian Pengangkutan ini akan berfungsi sebagai badan kawal selia dalam aspek keselamatan dan sekuriti bagi industri penerbangan awam negara.
Positive,"Pada saya, isu-isu yang dipolitikkan ini tidak lagi berbangkit dan tidak perlu dipanjangkan kerana perdana menteri sudah memberi penjelasan yang tepat mengenainya"
Positive,terselamat dalam cubaan bunuh ke atasnya dalam satu kejadian yang mungkin akan meningkatkan ketegangan politik\
Positive,"Apa sahaja bentuk kerjasama yang memberi impak positif kepada IPT di negara ini, pihak kementerian akan sentiasa memberi sokongan dan galakan kerana ia merupakan peluang keemasan yang perlu digarap oleh semua pelajar dan tenaga pengajar"
Positive,"Tidak kira Parlimen atau DUN, paling mustahak bukan kerusi kami rebutkan, tetapi solidariti daripada kami dan seluruh pengundi juga jentera parti"
Positive,"Yang penting, kita perlu pilih calon yang pengundi suka, bukan calon yang kita suka,"
Negative,"Isu ini berlegar setiap kali tiba musim pilihan raya sejak dahulu lagi. Walaupun kebenaran berita ini boleh diragui, namun ia mampu mencetus kebimbangan seterusnya menjejaskan kredibiliti sistem pilihan raya secara keseluruhannya."
Positive,itulah yang menjadi harapan masyarakat Islam di negara ini.
Positive,mempunyai rekod prestasi cemerlang untuk menjalankan tugas secara adil.
Positive,"Maknanya jelas, tak payahlah saya cakap panjang sebab orang Langkawi pun faham, orang India Langkawi pun faham bahawa hanya BN sahaja yang kita boleh letakkan harapan kita."
